0.511	15.04 14.89 15.09 15.14 14.94 15.24 15.07 15.07 15.07 14.96 15.06 15.16 15.06 15.06 15.07 15.09
0.559	15.63 15.86 15.73 15.76 15.64 15.81 15.61 15.81 15.76 15.54 15.86 15.72 15.61 15.79 15.69 15.67
0.634	16.54 16.56 16.57 16.62 16.59 16.51 16.69 16.64 16.57 16.46 16.66 16.73 16.52 16.77 16.54 16.73
0.695	17.42 17.19 17.39 17.47 17.26 17.19 17.32 17.41 17.32 17.29 17.33 17.47 17.22 17.31 17.39 17.44
0.741	17.94 17.96 17.71 18.07 18.01 17.91 17.97 17.84 17.99 17.97 17.94 17.89 17.87 18.05 17.85 18.09
0.796	18.49 18.40 18.37 18.49 18.56 18.37 18.42 18.64 18.37 18.42 18.52 18.44 18.47 18.46 18.42 18.71
0.889	19.46 19.41 19.46 19.29 19.49 19.57 19.36 19.39 19.56 19.29 19.34 19.61 19.36 19.44 19.44 19.52
0.958	20.00 20.07 20.25 20.20 19.96 20.20 20.09 20.07 20.14 19.97 20.20 20.14 20.22 20.19 20.11 19.92
1.008	20.50 20.74 20.64 20.47 20.72 20.65 20.61 20.62 20.51 20.69 20.64 20.59 20.49 20.92 20.49 20.66
1.098	21.37 21.59 21.51 21.61 21.29 21.52 21.61 21.64 21.30 21.57 21.25 21.77 21.24 21.47 21.67 21.59
1.189	22.12 22.47 22.25 22.27 22.39 22.14 22.32 22.30 22.35 22.27 22.38 22.37 22.29 22.30 22.20 22.37
1.211	22.57 22.37 22.50 22.65 22.50 22.50 22.57 22.72 22.47 22.54 22.39 22.64 22.65 22.49 22.40 22.77
