t,x
6.20E+00,-4.22E-02
6.23E+00,-1.22E-01
6.27E+00,-9.40E-02
6.30E+00,-7.80E-02
6.33E+00,-1.09E-01
6.37E+00,-1.56E-01
6.40E+00,-1.43E-01
6.43E+00,-1.33E-01
6.47E+00,-1.50E-01
6.50E+00,-1.56E-01
6.53E+00,-1.60E-01
6.57E+00,-1.59E-01
6.60E+00,-1.59E-01
6.63E+00,-1.25E-01
6.67E+00,-1.45E-01
6.70E+00,-1.52E-01
6.73E+00,-1.35E-01
6.77E+00,-6.61E-02
6.80E+00,-6.81E-02
6.83E+00,-1.11E-01
6.87E+00,-8.19E-02
6.90E+00,-8.22E-02
6.93E+00,-2.82E-02
6.97E+00,-4.73E-02
7.00E+00,-7.77E-03
7.03E+00,-7.53E-03
7.07E+00,1.20E-02
7.10E+00,3.27E-02
7.13E+00,5.39E-02
7.17E+00,7.52E-02
7.20E+00,9.59E-02
7.23E+00,1.16E-01
7.27E+00,1.35E-01
7.30E+00,1.54E-01
7.33E+00,1.70E-01
7.37E+00,1.87E-01
7.40E+00,2.02E-01
7.43E+00,2.14E-01
7.47E+00,2.25E-01
7.50E+00,2.34E-01
7.53E+00,2.42E-01
7.57E+00,2.48E-01
7.60E+00,2.50E-01
7.63E+00,2.52E-01
7.67E+00,2.52E-01
7.70E+00,2.48E-01
7.73E+00,2.43E-01
7.77E+00,2.36E-01
7.80E+00,2.27E-01
7.83E+00,2.16E-01
7.87E+00,2.04E-01
7.90E+00,1.91E-01
7.93E+00,1.74E-01
7.97E+00,1.58E-01
8.00E+00,1.39E-01
8.03E+00,1.20E-01
8.07E+00,1.00E-01
8.10E+00,7.97E-02
8.13E+00,5.82E-02
8.17E+00,3.69E-02
8.20E+00,1.59E-02
8.23E+00,-4.91E-03
8.27E+00,-2.44E-02
8.30E+00,-4.36E-02
8.33E+00,-6.21E-02
8.37E+00,-7.93E-02
8.40E+00,-9.54E-02
8.43E+00,-1.10E-01
8.47E+00,-1.23E-01
8.50E+00,-1.35E-01
8.53E+00,-1.44E-01
8.57E+00,-1.52E-01
8.60E+00,-1.58E-01
8.63E+00,-1.61E-01
8.67E+00,-1.63E-01
8.70E+00,-1.63E-01
8.73E+00,-1.61E-01
8.77E+00,-1.56E-01
8.80E+00,-1.50E-01
8.83E+00,-1.42E-01
8.87E+00,-1.31E-01
8.90E+00,-1.19E-01
8.94E+00,-1.06E-01
8.97E+00,-9.10E-02
9.00E+00,-7.42E-02
9.04E+00,-5.69E-02
9.07E+00,-3.80E-02
9.10E+00,-1.86E-02
9.14E+00,2.00E-03
9.17E+00,2.28E-02
9.20E+00,4.40E-02
9.24E+00,6.55E-02
9.27E+00,8.65E-02
9.30E+00,1.07E-01
9.34E+00,1.26E-01
9.37E+00,1.45E-01
9.40E+00,1.63E-01
9.44E+00,1.79E-01
9.47E+00,1.94E-01
9.50E+00,2.08E-01
9.54E+00,2.19E-01
9.57E+00,2.29E-01
9.60E+00,2.38E-01
9.64E+00,2.44E-01
9.67E+00,2.49E-01
9.70E+00,2.51E-01
9.74E+00,2.51E-01
9.77E+00,2.49E-01
9.80E+00,2.45E-01
9.84E+00,2.39E-01
9.87E+00,2.31E-01
9.90E+00,2.21E-01
9.94E+00,2.10E-01
9.97E+00,1.96E-01
1.00E+01,1.81E-01
1.00E+01,1.65E-01
1.01E+01,1.48E-01
1.01E+01,1.28E-01
1.01E+01,1.09E-01
1.02E+01,8.94E-02
1.02E+01,6.87E-02
1.02E+01,4.75E-02
1.03E+01,2.63E-02
1.03E+01,5.66E-03
1.03E+01,-1.40E-02
1.04E+01,-3.31E-02
1.04E+01,-5.18E-02
1.04E+01,-6.91E-02
1.05E+01,-8.60E-02
1.05E+01,-1.01E-01
1.05E+01,-1.14E-01
1.06E+01,-1.26E-01
1.06E+01,-1.35E-01
1.06E+01,-1.43E-01
1.07E+01,-1.49E-01
1.07E+01,-1.54E-01
1.07E+01,-1.56E-01
1.08E+01,-1.56E-01
1.08E+01,-1.54E-01
1.08E+01,-1.50E-01
1.09E+01,-1.44E-01
1.09E+01,-1.36E-01
1.09E+01,-1.26E-01
1.10E+01,-1.14E-01
1.10E+01,-1.01E-01
1.10E+01,-8.59E-02
1.11E+01,-7.02E-02
1.11E+01,-5.27E-02
1.11E+01,-3.45E-02
1.12E+01,-1.56E-02
1.12E+01,4.27E-03
1.12E+01,2.38E-02
1.13E+01,4.47E-02
1.13E+01,6.57E-02
1.13E+01,8.63E-02
1.14E+01,1.06E-01
1.14E+01,1.24E-01
1.14E+01,1.43E-01
1.15E+01,1.61E-01
1.15E+01,1.76E-01
1.15E+01,1.91E-01
1.16E+01,2.05E-01
1.16E+01,2.16E-01
1.16E+01,2.26E-01
1.17E+01,2.34E-01
1.17E+01,2.40E-01
1.17E+01,2.44E-01
1.18E+01,2.46E-01
1.18E+01,2.46E-01
1.18E+01,2.44E-01
1.19E+01,2.40E-01
1.19E+01,2.34E-01
1.19E+01,2.26E-01
1.20E+01,2.16E-01
1.20E+01,2.05E-01
1.20E+01,1.91E-01
1.21E+01,1.76E-01
1.21E+01,1.60E-01
1.21E+01,1.43E-01
1.22E+01,1.24E-01
1.22E+01,1.05E-01
1.22E+01,8.50E-02
1.23E+01,6.38E-02
1.23E+01,4.25E-02
1.23E+01,2.28E-02
1.24E+01,2.39E-03
1.24E+01,-1.70E-02
1.24E+01,-3.61E-02
1.25E+01,-5.45E-02
1.25E+01,-7.17E-02
1.25E+01,-8.77E-02
1.26E+01,-1.02E-01
1.26E+01,-1.16E-01
1.26E+01,-1.27E-01
1.27E+01,-1.37E-01
1.27E+01,-1.45E-01
1.27E+01,-1.52E-01
1.28E+01,-1.56E-01
1.28E+01,-1.58E-01
1.28E+01,-1.58E-01
1.29E+01,-1.56E-01
1.29E+01,-1.52E-01
1.29E+01,-1.46E-01
1.30E+01,-1.38E-01
1.30E+01,-1.28E-01
1.30E+01,-1.16E-01
1.31E+01,-1.03E-01
1.31E+01,-8.81E-02
1.31E+01,-7.24E-02
1.32E+01,-5.54E-02
1.32E+01,-3.70E-02
1.32E+01,-1.78E-02
1.33E+01,2.10E-03
1.33E+01,2.22E-02
1.33E+01,4.28E-02
1.34E+01,6.44E-02
1.34E+01,8.51E-02
1.34E+01,1.05E-01
1.35E+01,1.24E-01
1.35E+01,1.42E-01
1.35E+01,1.60E-01
1.36E+01,1.76E-01
1.36E+01,1.91E-01
1.36E+01,2.05E-01
1.37E+01,2.16E-01
1.37E+01,2.26E-01
1.37E+01,2.35E-01
1.38E+01,2.41E-01
1.38E+01,2.46E-01
1.38E+01,2.48E-01
1.39E+01,2.48E-01
1.39E+01,2.46E-01
1.39E+01,2.42E-01
1.40E+01,2.36E-01
1.40E+01,2.28E-01
1.40E+01,2.18E-01
1.41E+01,2.07E-01
1.41E+01,1.95E-01
1.41E+01,1.79E-01
1.42E+01,1.64E-01
1.42E+01,1.47E-01
1.42E+01,1.28E-01
