0.00	871.98  871.26  871.03  870.97  871.12  871.10  871.05  870.57  871.24  871.27  871.08 
0.08	791.51  791.75  791.66  791.71  792.05  792.02  792.25  791.94  792.11  791.82  791.97  792.03  792.15  792.37  792.16
0.20	675.33  674.56  675.44  674.76  674.90  675.17  675.69  675.61  674.90  675.53  675.05  675.80  675.15  675.12  675.57
0.31	579.45  579.83  579.52  579.98  579.67  579.58  579.64  579.48  579.78  579.84  579.99  579.64  579.77  579.65  579.60
0.43	476.43  476.34  476.47  476.81  476.62  476.82  476.55  476.69  476.63  476.65  476.52 
0.59	353.06  353.08  353.09  352.72  353.09  352.75  353.22  353.13  353.14  353.09  352.93  352.92  353.41  353.12  353.25
0.68	284.59  284.72  284.70  284.71  284.20  284.22  284.03  284.51  284.21  284.35  284.60  284.48  284.65  284.63
0.82	195.12  194.94  194.83  194.94  194.76  195.08  194.96  195.08  194.91  195.12  194.88  195.04  194.83  194.94  194.86
0.88	155.78  155.55  155.82  155.89  155.78  155.91  155.67  156.05  155.77  156.01  155.61  155.89  155.67  156.03  155.54
0.95	120.28  119.64  120.30  120.45  121.07  120.81  120.23  120.71  120.44  120.71  120.23  120.68  120.33  120.52  120.35
1.00	 94.15  94.28    94.09   94.43   94.05   94.40   94.12   94.22   94.23   93.73   94.34   94.13   93.99   94.04   94.34
1.09	 61.29   61.59   61.22   61.88   61.64   61.36   61.42   61.55   61.24   61.56   61.23   61.50   61.00   61.36   61.51
1.19	 28.02   27.97   27.91   27.87   27.98   27.84   28.04   27.73   28.04   27.94   27.89   27.85   27.60   28.06   27.87
1.24	 17.17   17.33   17.10   17.37   17.16   17.24   17.27   17.13   17.33   17.07   17.18   17.37   17.28   17.06   17.40
1.33	  3.43    3.35    3.41    3.21    3.36    3.32    3.33    3.43    3.22    3.44    3.22    3.49    3.34    3.53    3.29
1.37	  0.26    0.14    0.19    0.28    0.07    0.29
1.39	 -0.74   -0.77   -0.66   -0.77   -0.70   -0.67   -0.69   -0.63   -0.76   -0.69   -0.74   -0.65   -0.60   -0.62   -0.65
1.43	 -2.68   -2.56   -2.70   -2.69   -2.58   -2.72   -2.57   -2.73   -2.47   -2.63   -2.69   -2.56   -3.04   -2.85   -2.66
1.47	 -3.96   -3.85   -3.72   -4.11   -4.24   -4.63   -4.58   -3.81   -4.25   -3.79   -3.70   -3.61   -3.98   -4.02   -3.97
1.51	 -4.78   -4.66   -4.77   -4.78   -4.69   -4.74   -4.67   -4.74   -4.72   -4.70   -4.55   -4.64   -4.77   -4.66   -4.70
1.54	 -4.98   -5.10   -5.12   -5.11   -5.12   -5.04   -5.14   -5.10   -5.12   -5.18   -5.10   -5.08   -5.13   -5.10   -5.28
1.59	 -5.68   -5.74   -5.86   -5.75   -5.78   -5.76   -5.73   -5.70   -5.74   -5.72   -5.77   -5.71   -5.74   -5.78   -5.87
1.65	 -6.43   -6.19   -6.50   -6.42   -6.10   -6.60   -6.21   -6.37   -6.48   -6.26   -6.57   -6.25   -6.43   -6.28   -6.39
1.72	 -6.68   -7.14   -6.86   -6.90   -7.03   -6.76   -7.24   -6.87   -7.06   -6.84   -6.91   -7.00   -7.17   -6.83   -7.11
1.80	 -7.44   -7.11   -7.59   -7.11   -7.46   -7.51   -7.28   -7.68   -7.20   -7.58   -7.35   -7.31   -7.55   -7.21   -7.57
1.87	 -7.87   -7.55   -7.65   -7.75   -7.60   -7.87   -7.54   -7.77   -7.62   -7.73   -7.87   -7.59   -7.74   -7.65   -7.80
1.92	 -7.68   -8.05   -7.88   -7.93   -7.92   -7.77   -8.06   -7.63   -7.91   -7.84   -7.87   -7.86   -7.82   -8.02   -7.72
2.00	 -8.00   -8.10   -8.04   -8.17   -8.65   -7.96   -8.17   -7.98   -8.04   -8.19   -8.03   -8.16   -8.02   -8.08   -8.22
2.14	 -8.17   -8.60   -8.15   -8.35   -8.24   -8.51   -8.52   -8.51   -8.90   -9.11   -8.62   -8.27   -8.58   -8.27   -8.06
2.32	 -8.21   -8.62   -8.11   -8.41   -8.96   -8.72   -8.16   -8.39   -8.63   -8.31   -8.66   -7.86   -8.22   -8.50   -8.84
2.44	 -6.64   -6.12   -5.12   -5.52   -6.98  -10.26   -8.43   -3.56   -6.39   -6.32   -7.13   -7.41   -7.76   -7.96   -8.25
2.61	 -8.41   -8.40   -8.17   -8.59   -8.67   -8.56   -8.50   -8.38   -8.61   -8.42   -8.38   -8.41   -8.40   -8.51   -8.46
2.84	 -7.99   -8.16   -8.61   -8.56   -8.39   -8.59   -8.51   -8.50   -8.54   -8.60   -8.46   -8.59   -8.46   -8.56   -8.33
2.98	 -8.48   -8.64   -8.37   -8.69   -8.53   -8.59   -8.50   -8.37   -8.55   -8.36   -8.69   -8.32   -8.59   -8.45   -8.54
3.29	 -8.54   -8.60   -8.40   -8.87   -8.85   -8.30   -8.45   -8.51   -8.61   -8.46   -8.85   -8.61   -8.51   -8.65   -8.44
3.69	 -8.56   -8.63   -8.47   -8.67   -8.48   -8.63
4.83	 -8.69   -8.51   -8.75   -8.62   -8.69   -8.49   -8.73   -8.52   -8.74   -8.57   -8.82   -8.49
