0.00	1.09153 1.09168 1.09172 1.09154 1.09169 1.09170 1.09164 1.09167 1.09157 1.09178 1.09166 1.09167
0.11	0.93403 0.93390 0.93382 0.93390 0.93401 0.93400 0.93410 0.93402 0.93417 0.93395 0.93411 0.93417
0.18	0.83939 0.83915 0.83959 0.83971 0.83925 0.83937 0.83917 0.83973 0.83961 0.83969 0.83911 0.83937
0.24	0.77019 0.76973 0.76991 0.76931 0.77006 0.77022 0.77056 0.77090 0.77049 0.77062 0.77060 0.77088
0.32	0.68020 0.67993 0.67981 0.68002 0.67993 0.68013 0.68017 0.68023 0.68014 0.68022 0.68030 0.68042 
0.39	0.59336 0.59384 0.59457 0.59408 0.59462 0.59444 0.59465 0.59453 0.59491 0.59529 0.59503 0.59554 
0.45	0.53369 0.53372 0.53380 0.53342 0.53364 0.53410 0.53375 0.53372 0.53370 0.53367 0.53342 0.53373
0.52	0.45819 0.45849 0.45817 0.45832 0.45793 0.45778 0.45774 0.45747 0.45826 0.45782 0.45799 0.45761 
0.61	0.37853 0.37818 0.37866 0.37817 0.37825 0.37808 0.37820 0.37825 0.37824 0.37848 0.37833 0.37812 
0.69	0.30621 0.30629 0.30597 0.30608 0.30620 0.30629 0.30624 0.30628 0.30611 0.30630 0.30621 0.30610 
0.77	0.24902 0.24884 0.24895 0.24893 0.24890 0.24902 0.24888 0.24896 0.24905 0.24904 0.24931 0.24927 
0.86	0.18739 0.18753 0.18745 0.18721 0.18722 0.18724 0.18741 0.18730 0.18755 0.18736 0.18742 0.18723 
0.91	0.15569 0.15557 0.15552 0.15562 0.15552 0.15570 0.15541 0.15560 0.15563 0.15564 0.15558 0.15561 
1.00	0.10435 0.10455 0.10419 0.10414 0.10421 0.10428 0.10418 0.10448 0.10443 0.10412 0.10466 0.10416
1.07	0.07440 0.07396 0.07398 0.07394 0.07420 0.07398 0.07450 0.07405 0.07418 0.07483 0.07407 0.07431
1.11	0.05687 0.05681 0.05673 0.05682 0.05678 0.05695 0.05662 0.05685 0.05695 0.05672 0.05690 0.05670 
1.18	0.03514 0.03483 0.03503 0.03495 0.03505 0.03513 0.03529 0.03499 0.03522 0.03517 0.03509 0.03511 
1.25	0.01774 0.01788 0.01791 0.01783 0.01767 0.01774 0.01772 0.01769 0.01773 0.01777 0.01769 0.01777 
1.37	0.00226 0.00218 0.00205 0.00226 0.00222 0.00217 0.00211 0.00215 0.00211 0.00219 0.00213 0.00215 
1.46	-0.00213 -0.00208 -0.00218 -0.00200 -0.00223 -0.00205 -0.00214 -0.00213 -0.00198 -0.00209 -0.00230
1.54	-0.00379 -0.00374 -0.00360 -0.00390 -0.00374 -0.00379 -0.00372 -0.00381 -0.00397 -0.00391 -0.00373
1.69	-0.00531 -0.00554 -0.00545 -0.00564 -0.00528 -0.00542 -0.00563 -0.00539 -0.00559 -0.00532 -0.00568 
1.80	-0.00613 -0.00615 -0.00592 -0.00620 -0.00622 -0.00596 -0.00604 -0.00606 -0.00622 -0.00599 -0.00614 
1.95	-0.00673 -0.00646 -0.00671 -0.00621 -0.00665 -0.00633 -0.00640 -0.00624 -0.00685 -0.00642 -0.00665 
2.15	-0.00693 -0.00702 -0.00693 -0.00705 -0.00702 -0.00696 -0.00696 -0.00688 -0.00703 -0.00693 -0.00692 
2.32	-0.00710 -0.00713 -0.00712 -0.00699 -0.00692 -0.00686 -0.00667 -0.00710 -0.00681 -0.00700 -0.00702
2.44	-0.00704 -0.00681 -0.00726 -0.00714 -0.00708 -0.00722 -0.00749 -0.00727 -0.00696 -0.00699 -0.00723 
2.86	-0.00741 -0.00712 -0.00726 -0.00723 -0.00715 -0.00743 -0.00737 -0.00708 -0.00704 -0.00720 -0.00728
