0.00	0.00334 0.00346 0.00359 0.00355 0.00359 0.00366 0.00362 0.00370 0.00365 0.00369 0.00375 0.00368
0.11	0.00302 0.00292 0.00311 0.00290 0.00308 0.00301 0.00298 0.00313 0.00301 0.00319 0.00287 0.00320 
0.18	0.00231 0.00259 0.00237 0.00253 0.00235 0.00269 0.00237 0.00253 0.00245 0.00232 0.00262 0.00236
0.24	0.00196 0.00201 0.00203 0.00193 0.00201 0.00198 0.00197 0.00193 0.00196 0.00214 0.00202 0.00215
0.32	0.00160 0.00156 0.00161 0.00151 0.00147 0.00142 0.00144 0.00166 0.00172 0.00155 0.00149 0.00161
0.39	0.00124 0.00088 0.00112 0.00088 0.00109 0.00115 0.00094 0.00123 0.00090 0.00112 0.00101 0.00113 
0.45	0.00082 0.00071 0.00080 0.00076 0.00074 0.00083 0.00086 0.00074 0.00072 0.00081 0.00077 0.00067
0.52	0.00099 0.00076 0.00052 0.00083 0.00075 0.00110 0.00020 0.00034 -0.00006 0.00018 0.00046 0.00044
0.61	0.00016 0.00029 0.00020 0.00021 0.00024 0.00027 0.00026 0.00019 0.00030 0.00027 0.00024 0.00025
0.69	0.00036 0.00022 0.00023 0.00031 0.00026 0.00032 0.00018 0.00035 0.00027 0.00018 0.00031 0.00015 
0.77	0.00018 0.00009 -0.00004 0.00019 0.00015 0.00009 0.00015 0.00017 0.00014 0.00015 0.00022 0.00009 
0.86	0.00017 0.00011 0.00020 0.00013 0.00018 0.00022 0.00012 0.00006 0.00024 0.00023 0.00025 0.00020
0.91	0.00031 0.00024 0.00026 0.00031 0.00025 0.00036 0.00005 0.00030 0.00036 0.00027 0.00021 0.00027 
1.00	0.00026 0.00029 0.00017 0.00025 0.00012 0.00031 0.00041 0.00031 0.00003 0.00042 0.00014 0.00033 
1.07	0.00029 0.00006 0.00019 0.00005 0.00008 0.00009 0.00018 0.00023 0.00004 0.00027 0.00019 0.00023 
1.11	0.00014 0.00004 0.00019 0.00018 0.00019 0.00018 0.00007 0.00014 0.00020 0.00023 0.00012 0.00016
1.18	0.00014 -0.00001 0.00015 -0.00001 0.00010 -0.00001 0.00008 0.00014 0.00013 0.00003 0.00013 -0.00001 
1.25	0.00001 0.00007 0.00004 0.00000 0.00005 0.00003 0.00009 0.00000 -0.00003 0.00001 0.00005 0.00011 
1.37	0.00007 0.00001 0.00004 0.00011 0.00003 0.00004 0.00011 0.00002 0.00004 0.00001 -0.00001 0.00004 
1.46	-0.00011 -0.00017 -0.00006 -0.00013 -0.00010 -0.00028 -0.00005 -0.00017 -0.00022 -0.00018 -0.00029
1.54	-0.00023 -0.00033 -0.00010 -0.00035 -0.00000 -0.00027 -0.00007 -0.00023 -0.00026 -0.00017 -0.00040
1.69	-0.00026 -0.00036 -0.00035 -0.00015 -0.00027 -0.00037 -0.00026 -0.00036 -0.00014 -0.00043 -0.00015 
1.80	-0.00015 -0.00013 -0.00005 -0.00025 -0.00012 -0.00010 0.00026 0.00008 -0.00011 0.00004 -0.00051
1.95	-0.00021 -0.00034 -0.00008 -0.00045 -0.00011 -0.00021 -0.00041 -0.00036 -0.00019 -0.00039 -0.00027 
2.15	-0.00026 -0.00031 -0.00035 -0.00033 -0.00034 -0.00035 -0.00027 -0.00036 -0.00032 -0.00038 -0.00043 
2.32	-0.00027 -0.00036 -0.00018 -0.00039 -0.00028 -0.00025 -0.00015 -0.00041 -0.00013 -0.00035 -0.00022 
2.44	-0.00026 -0.00025 -0.00024 -0.00019 -0.00036 -0.00032 -0.00037 -0.00023 -0.00038 -0.00043 -0.00033
2.86	-0.00025 -0.00055 -0.00047 -0.00037 -0.00044 -0.00042 -0.00045 -0.00021 -0.00050 -0.00032 -0.00044 
