0.00	 0.05540  0.05524  0.05506  0.05505  0.05548  0.05534  0.05533  0.05541  0.05517  0.05504
0.05	 0.04161  0.04181  0.04160  0.04175  0.04154  0.04152  0.04167  0.04149  0.04170  0.04156
0.07	 0.03481  0.03500  0.03487  0.03492  0.03482  0.03496  0.03491  0.03500  0.03483  0.03491
0.09	 0.02978  0.02974  0.02981  0.02973  0.02967  0.02968  0.02969  0.02979  0.02970  0.02977
0.12	 0.02353  0.02364  0.02335  0.02356  0.02344  0.02351  0.02369  0.02351  0.02355  0.02363
0.14	 0.02061  0.02043  0.02042  0.02024  0.02047  0.02000  0.02045  0.02006  0.02010  0.02022
0.16	 0.01618  0.01610  0.01567  0.01607  0.01569  0.01584  0.01589  0.01569  0.01586  0.01569
0.20	 0.01026  0.01004  0.00911  0.00988  0.00970  0.00986  0.00998  0.00980  0.01000  0.00980
0.25	 0.00568  0.00567  0.00565  0.00561  0.00548  0.00553  0.00559  0.00554  0.00551  0.00555
0.29	 0.00263  0.00244  0.00273  0.00255  0.00256  0.00259  0.00244  0.00275  0.00256  0.00259
0.31	 0.00134  0.00130  0.00125  0.00127  0.00130  0.00127  0.00121  0.00130  0.00120  0.00150
0.35	-0.00025 -0.00046 -0.00042 -0.00032 -0.00047 -0.00022 -0.00062 -0.00028 -0.00055 -0.00035
0.40	-0.00143 -0.00162 -0.00127 -0.00155 -0.00123 -0.00182 -0.00127 -0.00175 -0.00151 -0.00141
0.45	-0.00244 -0.00239 -0.00223 -0.00252 -0.00226 -0.00246 -0.00213 -0.00260 -0.00226 -0.00236
0.55	-0.00329 -0.00321 -0.00340 -0.00324 -0.00344 -0.00310 -0.00340 -0.00360 -0.00326 -0.00364
0.62	-0.00376 -0.00391 -0.00368 -0.00413 -0.00368 -0.00401 -0.00384 -0.00383 -0.00384 -0.00381
0.73	-0.00403 -0.00449 -0.00436 -0.00417 -0.00432 -0.00436 -0.00424 -0.00436 -0.00396 -0.00430
0.87	-0.00488 -0.00424 -0.00496 -0.00498 -0.00485 -0.00519 -0.00445 -0.00533 -0.00406 -0.00467
